store_id,name,food_type,avg_rating,google_place_id,google_matched_name,google_formatted_address,google_price_tier,google_lat,google_lng,google_website,google_phone,operating_hours_monday,operating_hours_tuesday,operating_hours_wednesday,operating_hours_thursday,operating_hours_friday,operating_hours_saturday,operating_hours_sunday,operating_hours_by_day_json
ppl5,hungry piipol project,korean,4.4,ChIJj94KYPRJzDERk4MxcfRW1pY,Hungry Bacon,"33, Jalan SS 21/56b, Damansara Utama, 47400 Petaling Jaya, Selangor, Malaysia",,3.1377816,101.6219372,https://www.facebook.com/hungrybaconrestaurant/,012-355 0857,Closed,5:00 10:30 PM,5:00 10:30 PM,5:00 10:30 PM,5:00 10:30 PM,"12:00 2:30 PM, 6:00 10:00 PM","12:00 2:30 PM, 6:00 10:00 PM","{""Monday"": ""Closed"", ""Tuesday"": ""5:00 10:30 PM"", ""Wednesday"": ""5:00 10:30 PM"", ""Thursday"": ""5:00 10:30 PM"", ""Friday"": ""5:00 10:30 PM"", ""Saturday"": ""12:00 2:30 PM, 6:00 10:00 PM"", ""Sunday"": ""12:00 2:30 PM, 6:00 10:00 PM""}"
d9fb,nasi kandar penang road,nasi kandar,4.6,ChIJY9-bJSdMzDERMiOCAD_-Axw,Nasi Kandar Penang Road,"Jalan PJU 1a/4a, 47310 Petaling Jaya, Selangor, Malaysia",mid,3.1116031,101.5858199,https://www.google.com/maps/place/?q=place_id:ChIJY9-bJSdMzDERMiOCAD_-Axw,012-693 8786,7:00 AM 3:00 AM,7:00 AM 3:00 AM,7:00 AM 3:00 AM,7:00 AM 12:00 AM,7:00 AM 3:00 AM,7:00 AM 12:00 AM,Open 24 hours,"{""Monday"": ""7:00 AM 3:00 AM"", ""Tuesday"": ""7:00 AM 3:00 AM"", ""Wednesday"": ""7:00 AM 3:00 AM"", ""Thursday"": ""7:00 AM 12:00 AM"", ""Friday"": ""7:00 AM 3:00 AM"", ""Saturday"": ""7:00 AM 12:00 AM"", ""Sunday"": ""Open 24 hours""}"
pk6n,jom chá by farm fresh (1 utama shopping centre),beverages,4.6,ChIJf4FhZf9JzDERb_z58SluqAg,Jom Ch by Farm Fresh - 1 Utama Shopping Centre,"FK109, First Floor, Lebuh Bandar Utama, Bandar Utama, 47800 Petaling Jaya, Selangor, Malaysia",,3.1488521,101.6163118,https://www.google.com/maps/place/?q=place_id:ChIJf4FhZf9JzDERb_z58SluqAg,,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:30 PM,10:00 AM 10:30 PM,10:00 AM 10:00 PM,"{""Monday"": ""10:00 AM 10:00 PM"", ""Tuesday"": ""10:00 AM 10:00 PM"", ""Wednesday"": ""10:00 AM 10:00 PM"", ""Thursday"": ""10:00 AM 10:00 PM"", ""Friday"": ""10:00 AM 10:30 PM"", ""Saturday"": ""10:00 AM 10:30 PM"", ""Sunday"": ""10:00 AM 10:00 PM""}"
coau,yasir nasi kandar,asian,4.3,ChIJyzwkCFdNzDERl2oI7OtFYWc,Yasir Nasi Kandar,"F-01-08,Block F, Pacific Place, Ara Damansara, 47301 Petaling Jaya, Selangor, Malaysia",budget,3.1109973,101.5873019,https://www.google.com/maps/place/?q=place_id:ChIJyzwkCFdNzDERl2oI7OtFYWc,03-7734 0911,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}"
t3ol,restoran nasi kandar srb,indian,4.4,ChIJm3dSDp5OzDERbzG2-FrkfbA,Restoran Nasi Kandar SRB,"D1-3A-G 1-5-GF BLOK D PST PERDAGANGAN DANA 1, Jalan PJU 1a/46, Pusat Perdagangan Dana 1, 47301 Petaling Jaya, Selangor, Malaysia",mid,3.1117492,101.5829658,https://www.google.com/maps/place/?q=place_id:ChIJm3dSDp5OzDERbzG2-FrkfbA,03-7497 8240,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}"
k2ec,j.co donuts & coffee (the curve),bread,4.8,ChIJ2RsXNnVPzDEREoeFXI7Eoj8,J.CO Donuts & Coffee @ The Curve,"Jalan PJU 7/2, Mutiara Damansara, 47820 Petaling Jaya, Selangor, Malaysia",mid,3.1576891,101.6125616,http://www.jcodonuts.com/,03-7625 9546,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,"{""Monday"": ""10:00 AM 10:00 PM"", ""Tuesday"": ""10:00 AM 10:00 PM"", ""Wednesday"": ""10:00 AM 10:00 PM"", ""Thursday"": ""10:00 AM 10:00 PM"", ""Friday"": ""10:00 AM 10:00 PM"", ""Saturday"": ""10:00 AM 10:00 PM"", ""Sunday"": ""10:00 AM 10:00 PM""}"
uaam,original penang kayu nasi kandar (citta mall),nasi kandar,4.5,ChIJkWJ2TrNNzDERM0B6wYeBahc,Original Penang Kayu Nasi Kandar@Citta Mall,"G-12 &, G-13, Ground Floor, Citta Mall, 5, Jalan PJU 1a/2, Ara Damansara, 47301 Petaling Jaya, Selangor, Malaysia",mid,3.1117417,101.5785418,http://originalkayu.com.my/,03-7662 8797,7:00 AM 11:00 PM,7:00 AM 11:00 PM,7:00 AM 11:00 PM,7:00 AM 11:00 PM,7:00 AM 11:00 PM,7:00 AM 11:00 PM,7:00 AM 11:00 PM,"{""Monday"": ""7:00 AM 11:00 PM"", ""Tuesday"": ""7:00 AM 11:00 PM"", ""Wednesday"": ""7:00 AM 11:00 PM"", ""Thursday"": ""7:00 AM 11:00 PM"", ""Friday"": ""7:00 AM 11:00 PM"", ""Saturday"": ""7:00 AM 11:00 PM"", ""Sunday"": ""7:00 AM 11:00 PM""}"
xew9,restaurant jin xuan hong kong (damansara jaya),chinese,4.7,ChIJE4WWSbNOzDERgIhfTgbgKl0,Restoran Jin Xuan Hong Kong @Damansara Jaya,"59, 61 & 63, Jalan SS 22/19, Damansara Jaya, 47400 Petaling Jaya, Selangor, Malaysia",mid,3.1266406,101.6153463,https://jinxuan.com.my/,03-7729 6866,7:00 AM 11:00 PM,7:00 AM 11:00 PM,7:00 AM 11:00 PM,7:00 AM 11:00 PM,7:00 AM 11:00 PM,7:00 AM 11:00 PM,7:00 AM 11:00 PM,"{""Monday"": ""7:00 AM 11:00 PM"", ""Tuesday"": ""7:00 AM 11:00 PM"", ""Wednesday"": ""7:00 AM 11:00 PM"", ""Thursday"": ""7:00 AM 11:00 PM"", ""Friday"": ""7:00 AM 11:00 PM"", ""Saturday"": ""7:00 AM 11:00 PM"", ""Sunday"": ""7:00 AM 11:00 PM""}"
r2fi,zus coffee (atria mall),coffee,4.8,ChIJT4EjxoJJzDERdSYR57ZzgKY,ZUS Coffee - Atria Shopping Gallery,"Atria Shopping Mall, Kiosk CK9, Concourse Floor, Jalan SS 22/23, Damansara Jaya, 47400 Petaling Jaya, Selangor, Malaysia",,3.126627,101.6162627,https://zuscoffee.com/,012-816 1340,7:00 AM 10:00 PM,7:00 AM 10:00 PM,7:00 AM 10:00 PM,7:00 AM 10:00 PM,7:00 AM 10:00 PM,7:00 AM 10:00 PM,7:00 AM 10:00 PM,"{""Monday"": ""7:00 AM 10:00 PM"", ""Tuesday"": ""7:00 AM 10:00 PM"", ""Wednesday"": ""7:00 AM 10:00 PM"", ""Thursday"": ""7:00 AM 10:00 PM"", ""Friday"": ""7:00 AM 10:00 PM"", ""Saturday"": ""7:00 AM 10:00 PM"", ""Sunday"": ""7:00 AM 10:00 PM""}"
tdsp,kopitiam heung kee,chinese,4.5,ChIJjRsRUQRNzDERXGJUFm5liNM,Heung Kee Kopitiam Ara Damansara,"B0102 & B0103, Pacific Place Commercial Centre, Jalan PJU 1a/4, Ara Damansara, 47301 Petaling Jaya, Selangor, Malaysia",,3.1098901,101.5858321,https://www.google.com/maps/place/?q=place_id:ChIJjRsRUQRNzDERXGJUFm5liNM,017-997 0102,8:30 AM 9:15 PM,8:30 AM 9:15 PM,8:30 AM 9:15 PM,8:30 AM 9:15 PM,8:30 AM 9:15 PM,8:30 AM 9:15 PM,11:00 AM 8:30 PM,"{""Monday"": ""8:30 AM 9:15 PM"", ""Tuesday"": ""8:30 AM 9:15 PM"", ""Wednesday"": ""8:30 AM 9:15 PM"", ""Thursday"": ""8:30 AM 9:15 PM"", ""Friday"": ""8:30 AM 9:15 PM"", ""Saturday"": ""8:30 AM 9:15 PM"", ""Sunday"": ""11:00 AM 8:30 PM""}"
qdfo,chagee (cittamall) 霸王茶姬,tea,4.7,ChIJ9xB4KXlNzDERq6D_ZKE3Tlc,CHAGEE Citta Mall,"Citta Mall, Jalan PJU 1a/48, Pusat Perdagangan Dana 1, 47301 Petaling Jaya, Selangor, Malaysia",mid,3.1121119,101.5785965,https://chagee.com.my/,010-825 3163,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,"{""Monday"": ""10:00 AM 10:00 PM"", ""Tuesday"": ""10:00 AM 10:00 PM"", ""Wednesday"": ""10:00 AM 10:00 PM"", ""Thursday"": ""10:00 AM 10:00 PM"", ""Friday"": ""10:00 AM 10:00 PM"", ""Saturday"": ""10:00 AM 10:00 PM"", ""Sunday"": ""10:00 AM 10:00 PM""}"
y2e2,dapur balado kemangi,malaysian,4.3,ChIJMYnDsEBNzDERAWG3MvldXvs,Dapur Balado Kemangi,"Lot EV-G-02, Ground Floor, @ Evolve Concept Mall Pacific Place, Ara Damansara, 47301 Petaling Jaya, Selangor, Malaysia",,3.1094543,101.5860174,https://www.google.com/maps/place/?q=place_id:ChIJMYnDsEBNzDERAWG3MvldXvs,012-280 0883,11:30 AM 9:30 PM,11:30 AM 9:30 PM,11:30 AM 9:30 PM,11:30 AM 9:30 PM,11:30 AM 1:30 AM,11:30 AM 9:30 PM,11:30 AM 9:30 PM,"{""Monday"": ""11:30 AM 9:30 PM"", ""Tuesday"": ""11:30 AM 9:30 PM"", ""Wednesday"": ""11:30 AM 9:30 PM"", ""Thursday"": ""11:30 AM 9:30 PM"", ""Friday"": ""11:30 AM 1:30 AM"", ""Saturday"": ""11:30 AM 9:30 PM"", ""Sunday"": ""11:30 AM 9:30 PM""}"
xenz,q house 港湾茶餐厅 (damansara jaya),asian,4.6,ChIJm4CW1CVJzDERZWmJzndWpwA,QHouse PJ Damansara Jaya,"54 & 56, Jalan SS 22/25, Damansara Jaya, 47400 Petaling Jaya, Selangor, Malaysia",mid,3.1261519,101.616951,https://www.facebook.com/qhousepj,016-353 3202,11:00 AM 11:00 PM,11:00 AM 11:00 PM,11:00 AM 11:00 PM,11:00 AM 11:00 PM,11:00 AM 11:00 PM,11:00 AM 11:00 PM,11:00 AM 11:00 PM,"{""Monday"": ""11:00 AM 11:00 PM"", ""Tuesday"": ""11:00 AM 11:00 PM"", ""Wednesday"": ""11:00 AM 11:00 PM"", ""Thursday"": ""11:00 AM 11:00 PM"", ""Friday"": ""11:00 AM 11:00 PM"", ""Saturday"": ""11:00 AM 11:00 PM"", ""Sunday"": ""11:00 AM 11:00 PM""}"
j8zg,restoran mutiara d maju,roti canai,4.5,ChIJ1QBROgBPzDERRyLepR6GEzs,Restoran Mutiara D'Maju,"22-3, Perdana Business Centre, Jalan PJU 8/5G, Bandar Damansara Perdana, Petaling Jaya, 47820, Damansara Perdana, 47810 Petaling Jaya, Selangor, Malaysia",,3.1660758,101.6067913,https://www.google.com/maps/place/?q=place_id:ChIJ1QBROgBPzDERRyLepR6GEzs,,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}"
o4wa,alfa maju curry house (kelana jaya),malaysian,4.2,ChIJD56ClRBMzDERgGmJ1TAEuVk,Restoran Al Fariz Maju,"C-G, 02, Jalan SS 6/20, Dataran Glomac, 47301 Petaling Jaya, Selangor, Malaysia",mid,3.1024702,101.6002019,https://www.facebook.com/p/Al-Fariz-Maju-Kelana-Jaya-100054281871103/,016-263 0095,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}"
q5pt,pizza express,pizza,4.3,ChIJfXuRRgBJzDERkKTmkSm-VGE,PWJ Express (Pizza Wagyu Jofliam),"Second Floor, 1 Utama Shopping Centre, 1, Lebuh Bandar Utama, Bandar Utama, 47800 Petaling Jaya, Selangor, Malaysia",,3.147911,101.6159551,https://www.google.com/maps/place/?q=place_id:ChIJfXuRRgBJzDERkKTmkSm-VGE,,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,"{""Monday"": ""10:00 AM 10:00 PM"", ""Tuesday"": ""10:00 AM 10:00 PM"", ""Wednesday"": ""10:00 AM 10:00 PM"", ""Thursday"": ""10:00 AM 10:00 PM"", ""Friday"": ""10:00 AM 10:00 PM"", ""Saturday"": ""10:00 AM 10:00 PM"", ""Sunday"": ""10:00 AM 10:00 PM""}"
g5mo,mohammad wok kitchen (damansara perdana),malaysian,4.6,ChIJRWMyIDFPzDER3W73ggDFJUo,Mohammad Chow Chinese Muslim Kitchen,"Perdana Business Centre, 3-1, Jalan PJU 8/5h, Damansara Perdana, 47820 Petaling Jaya, Selangor, Malaysia",mid,3.1661015,101.6073651,http://mohammadchow.oddle.me/,03-7731 6383,11:00 AM 11:00 PM,11:00 AM 11:00 PM,11:00 AM 11:00 PM,11:00 AM 11:00 PM,11:00 AM 11:00 PM,11:00 AM 11:00 PM,11:00 AM 11:00 PM,"{""Monday"": ""11:00 AM 11:00 PM"", ""Tuesday"": ""11:00 AM 11:00 PM"", ""Wednesday"": ""11:00 AM 11:00 PM"", ""Thursday"": ""11:00 AM 11:00 PM"", ""Friday"": ""11:00 AM 11:00 PM"", ""Saturday"": ""11:00 AM 11:00 PM"", ""Sunday"": ""11:00 AM 11:00 PM""}"
nljj,gila burger,burgers,4.8,ChIJv5HWlR5PzDERQAihTN-K0Sk,Gila Burger,"5-1, Jalan PJU 8/5i, Bandar Damansara Perdana, 47820 Petaling Jaya, Selangor, Malaysia",,3.1664878,101.6070376,http://www.gilaburger.com/,03-7732 5530,Closed,11:00 AM 11:00 PM,11:00 AM 11:00 PM,11:00 AM 11:00 PM,11:00 AM 11:00 PM,11:00 AM 11:00 PM,11:00 AM 11:00 PM,"{""Monday"": ""Closed"", ""Tuesday"": ""11:00 AM 11:00 PM"", ""Wednesday"": ""11:00 AM 11:00 PM"", ""Thursday"": ""11:00 AM 11:00 PM"", ""Friday"": ""11:00 AM 11:00 PM"", ""Saturday"": ""11:00 AM 11:00 PM"", ""Sunday"": ""11:00 AM 11:00 PM""}"
qqhw,spade's burger (damansara utama),burgers,4.6,ChIJ13ZCxwdJzDEREJN1UyoU3D0,Spade's Burger Damansara Uptown,"32-G, Jalan SS 21/39, Damansara Utama, 47400 Petaling Jaya, Selangor, Malaysia",mid,3.1359774,101.6214674,https://spadesburger.com/damansara-uptown,03-7733 9559,11:30 AM 10:00 PM,11:30 AM 10:00 PM,11:30 AM 10:00 PM,11:30 AM 10:00 PM,11:30 AM 10:00 PM,11:30 AM 10:00 PM,11:30 AM 10:00 PM,"{""Monday"": ""11:30 AM 10:00 PM"", ""Tuesday"": ""11:30 AM 10:00 PM"", ""Wednesday"": ""11:30 AM 10:00 PM"", ""Thursday"": ""11:30 AM 10:00 PM"", ""Friday"": ""11:30 AM 10:00 PM"", ""Saturday"": ""11:30 AM 10:00 PM"", ""Sunday"": ""11:30 AM 10:00 PM""}"
u94g,taiwan canteen 台湾食堂 uptown damansara,chinese,4.6,ChIJVa5lAbVJzDERJmUann07Ziw,Taiwan Canteen,"89, Jalan SS 21/1a, Damansara Utama, 47400 Petaling Jaya, Selangor, Malaysia",,3.1340185,101.6209667,https://www.google.com/maps/place/?q=place_id:ChIJVa5lAbVJzDERJmUann07Ziw,012-668 3293,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 12:00 AM,10:00 AM 12:00 AM,10:00 AM 12:00 AM,10:00 AM 10:00 PM,"{""Monday"": ""10:00 AM 10:00 PM"", ""Tuesday"": ""10:00 AM 10:00 PM"", ""Wednesday"": ""10:00 AM 10:00 PM"", ""Thursday"": ""10:00 AM 12:00 AM"", ""Friday"": ""10:00 AM 12:00 AM"", ""Saturday"": ""10:00 AM 12:00 AM"", ""Sunday"": ""10:00 AM 10:00 PM""}"
r9yn,ko ko kai chicken rice (mutiara damansara),chinese,4.6,ChIJcUo2WTqVyzsRfyyoUskFM50,Ko Ko Kai - Asian Kitchen & Cocktails,"Shop #431, Kokapet Terminal, Gandipet Main Rd, Kokapet, Hyderabad, Gandipet, Telangana 500075, India",,17.3852473,78.3293219,https://www.google.com/maps/place/?q=place_id:ChIJcUo2WTqVyzsRfyyoUskFM50,089775 25562,"12:00 3:30 PM, 6:30 11:00 PM","12:00 3:30 PM, 6:30 11:00 PM","12:00 3:30 PM, 6:30 11:00 PM","12:00 3:30 PM, 6:30 11:00 PM",12:00 11:00 PM,12:00 11:00 PM,12:00 11:00 PM,"{""Monday"": ""12:00 3:30 PM, 6:30 11:00 PM"", ""Tuesday"": ""12:00 3:30 PM, 6:30 11:00 PM"", ""Wednesday"": ""12:00 3:30 PM, 6:30 11:00 PM"", ""Thursday"": ""12:00 3:30 PM, 6:30 11:00 PM"", ""Friday"": ""12:00 11:00 PM"", ""Saturday"": ""12:00 11:00 PM"", ""Sunday"": ""12:00 11:00 PM""}"
xuh3,eg's wok kitchen,asian,4.7,ChIJRSC2RWpJzDERbgLrCFNpn8c,Eg's Wok Kitchen,"The Campus Ampang, Jalan Kerja Air Lama, Ukay Heights, 68000 Ampang, Selangor, Malaysia",,3.1615587,101.7562299,https://www.google.com/maps/place/?q=place_id:ChIJRSC2RWpJzDERbgLrCFNpn8c,016-419 3786,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,"{""Monday"": ""10:00 AM 10:00 PM"", ""Tuesday"": ""10:00 AM 10:00 PM"", ""Wednesday"": ""10:00 AM 10:00 PM"", ""Thursday"": ""10:00 AM 10:00 PM"", ""Friday"": ""10:00 AM 10:00 PM"", ""Saturday"": ""10:00 AM 10:00 PM"", ""Sunday"": ""10:00 AM 10:00 PM""}"
jar7,warung jabit kj,asian,4.9,ChIJh1yPJwBNzDER3i4wLVv5DAM,Warung Jabit Kelana Jaya,"No, Jalan SS 6/6, SS 2, 47301 Petaling Jaya, Selangor, Malaysia",,3.1056637,101.5981117,https://www.google.com/maps/place/?q=place_id:ChIJh1yPJwBNzDER3i4wLVv5DAM,,7:00 AM 10:00 PM,7:00 AM 10:00 PM,7:00 AM 10:00 PM,7:00 AM 10:00 PM,7:00 AM 10:00 PM,7:00 AM 10:00 PM,Closed,"{""Monday"": ""7:00 AM 10:00 PM"", ""Tuesday"": ""7:00 AM 10:00 PM"", ""Wednesday"": ""7:00 AM 10:00 PM"", ""Thursday"": ""7:00 AM 10:00 PM"", ""Friday"": ""7:00 AM 10:00 PM"", ""Saturday"": ""7:00 AM 10:00 PM"", ""Sunday"": ""Closed""}"
s2bg,restoran hathija maju (taman sea),roti canai,4.4,ChIJsYlxiKVPzDERHtJycCP6GYg,Restoran Hathija Maju,"6, Jalan SS 23/11, Taman Sea, 47400 Petaling Jaya, Selangor, Malaysia",,3.117435,101.6135034,https://www.facebook.com/hathijamaju/,03-7887 1245,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}"
q5kx,kl food exchange (damansara perdana) (efmc),western,4.2,ChIJVRQ-zDNPzDERu9nxNf4gQuA,EPiC - Damansara,"E105, Block E, East Wing, Metropolitan Square, Jalan PJU 8/1, Damansara, Perdana, Damansara Perdana, 47820 Petaling Jaya, Selangor, Malaysia",,3.1649737,101.6108595,http://www.epics.com.my/,017-938 0000,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}"
r7dx,the toast spot (damansara perdana) (efmc),sandwiches,4.1,ChIJ3Y-XBEZJzDER4WjW1zHe6b0,Toast & Roast,"20, Jalan SS 2/72, Seksyen 19, 47300 Petaling Jaya, Selangor, Malaysia",mid,3.1283141,101.6279779,https://www.facebook.com/OriginalToastandRoastSS2/,012-230 7766,8:30 AM 4:00 PM,Closed,8:30 AM 4:00 PM,8:30 AM 4:00 PM,8:30 AM 4:00 PM,8:30 AM 4:00 PM,8:30 AM 4:00 PM,"{""Monday"": ""8:30 AM 4:00 PM"", ""Tuesday"": ""Closed"", ""Wednesday"": ""8:30 AM 4:00 PM"", ""Thursday"": ""8:30 AM 4:00 PM"", ""Friday"": ""8:30 AM 4:00 PM"", ""Saturday"": ""8:30 AM 4:00 PM"", ""Sunday"": ""8:30 AM 4:00 PM""}"
aacz,thai tomyam damansara uptown,thai,4.6,ChIJF848lgdJzDERekHJR_Gry7E,Thai Tomyam Damansara Uptown,"lot 1026, Damansara Uptown, 7, Jalan SS 21/39, Damansara Utama, 47400 Petaling Jaya, Selangor, Malaysia",,3.1350528,101.6219473,https://www.facebook.com/dianathaifood?mibextid=ZbWKwL,017-373 8207,"12:00 3:00 PM, 5:00 11:00 PM","12:00 3:00 PM, 5:00 11:00 PM","12:00 3:00 PM, 5:00 11:00 PM","12:00 3:00 PM, 5:00 11:30 PM","12:00 3:00 PM, 5:00 11:00 PM","12:00 3:00 PM, 5:00 11:00 PM",Closed,"{""Monday"": ""12:00 3:00 PM, 5:00 11:00 PM"", ""Tuesday"": ""12:00 3:00 PM, 5:00 11:00 PM"", ""Wednesday"": ""12:00 3:00 PM, 5:00 11:00 PM"", ""Thursday"": ""12:00 3:00 PM, 5:00 11:30 PM"", ""Friday"": ""12:00 3:00 PM, 5:00 11:00 PM"", ""Saturday"": ""12:00 3:00 PM, 5:00 11:00 PM"", ""Sunday"": ""Closed""}"
a1rg,suria garden cafe - kelana square,asian,4.7,ChIJBf_tfSJMzDERyNx2pqZXPUQ,Suria Garden Cafe - Kelana Jaya (Best Nasi Ayam Penyet in Kelana Jaya),"P89 Level P Block C, Jalan SS 7/26, Ss 7, 47301 Petaling Jaya, Selangor, Malaysia",,3.1055384,101.5922166,https://www.facebook.com/Suria-Garden-Cafe-107198517745125/,016-247 1260,8:00 AM 5:00 PM,8:00 AM 5:00 PM,8:00 AM 5:00 PM,8:00 AM 5:00 PM,8:00 AM 5:00 PM,8:00 AM 5:00 PM,Closed,"{""Monday"": ""8:00 AM 5:00 PM"", ""Tuesday"": ""8:00 AM 5:00 PM"", ""Wednesday"": ""8:00 AM 5:00 PM"", ""Thursday"": ""8:00 AM 5:00 PM"", ""Friday"": ""8:00 AM 5:00 PM"", ""Saturday"": ""8:00 AM 5:00 PM"", ""Sunday"": ""Closed""}"
fmzn,avenue bistro (empire damansara),malaysian,4.4,ChIJF9H0vjNPzDERcDk6EOM4q_U,Avenue Bistro,"G01 Heritage Lane @ Empire Damansara, Damansara Perdana, 47820 Petaling Jaya, Selangor, Malaysia",,3.1670516,101.6120222,https://www.facebook.com/pages/Avenue-Bistro/162954767116397,017-891 1216,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}"
n7ib,vanakam kitchen,indian,4.1,ChIJMft6T7dNzDERS2YVDsVO85M,Vanakam Kitchen,"GL-19, Jalan SS 7/26, SS7, 47301 Petaling Jaya, Selangor, Malaysia",,3.1055532,101.5929285,https://www.google.com/maps/place/?q=place_id:ChIJMft6T7dNzDERS2YVDsVO85M,011-6087 4760,7:00 AM 9:00 PM,7:00 AM 9:00 PM,7:00 AM 9:00 PM,7:00 AM 9:00 PM,7:00 AM 9:00 PM,7:00 AM 9:00 PM,Closed,"{""Monday"": ""7:00 AM 9:00 PM"", ""Tuesday"": ""7:00 AM 9:00 PM"", ""Wednesday"": ""7:00 AM 9:00 PM"", ""Thursday"": ""7:00 AM 9:00 PM"", ""Friday"": ""7:00 AM 9:00 PM"", ""Saturday"": ""7:00 AM 9:00 PM"", ""Sunday"": ""Closed""}"
g5p5,the museum (starling mall),chinese,4.4,ChIJ9SvX1UNJzDERZQdimv7ffmo,The Museum @ Starling Mall,"Damansara Utama, 47400 Petaling Jaya, Selangor, Malaysia",,3.135618,101.6231707,https://www.thestarling.com.my/mall-directory/tenant/the-museum,019-316 5817,11:00 AM 9:00 PM,11:00 AM 9:00 PM,11:00 AM 9:00 PM,11:00 AM 9:00 PM,11:00 AM 9:00 PM,11:00 AM 9:00 PM,11:00 AM 9:00 PM,"{""Monday"": ""11:00 AM 9:00 PM"", ""Tuesday"": ""11:00 AM 9:00 PM"", ""Wednesday"": ""11:00 AM 9:00 PM"", ""Thursday"": ""11:00 AM 9:00 PM"", ""Friday"": ""11:00 AM 9:00 PM"", ""Saturday"": ""11:00 AM 9:00 PM"", ""Sunday"": ""11:00 AM 9:00 PM""}"
