store_id,name,food_type,avg_rating,google_search_query,google_place_id,google_formatted_address,google_business_status,google_price_level,google_price_tier,google_lat,google_lng,google_website,google_phone,google_types_json,operating_hours_monday,operating_hours_tuesday,operating_hours_wednesday,operating_hours_thursday,operating_hours_friday,operating_hours_saturday,operating_hours_sunday,operating_hours_by_day_json,operating_hours_source
s1wn,DubuYo Prime @ IOI Mall Damansara,korean,4.6,"dubuyo (tropicana gardens mall), Petaling Jaya, Malaysia",ChIJEfT-2VdPzDER4UlZKz3hkmk,"Concourse floor, Tropicana garden mall lot CC-42, no A, Persiaran Surian, Tropicana Indah, 47810 Petaling Jaya, Selangor, Malaysia",OPERATIONAL,2,mid,3.1490708,101.5952253,https://www.google.com/maps/place/?q=place_id:ChIJEfT-2VdPzDER4UlZKz3hkmk,03-7660 6967,"[""establishment"", ""food"", ""point_of_interest"", ""restaurant""]",10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,"{""Monday"": ""10:00 AM 10:00 PM"", ""Tuesday"": ""10:00 AM 10:00 PM"", ""Wednesday"": ""10:00 AM 10:00 PM"", ""Thursday"": ""10:00 AM 10:00 PM"", ""Friday"": ""10:00 AM 10:00 PM"", ""Saturday"": ""10:00 AM 10:00 PM"", ""Sunday"": ""10:00 AM 10:00 PM""}",google_places
cmtw,Salad Atelier (IOI Mall Damansara),asian,4.3,"salad atelier (tropicana gardens mall), Petaling Jaya, Malaysia",ChIJwfmvRyFPzDER0DL4tps1yrk,"CC-85, Concourse Floor, Tropicana Gardens Mall, Jln PJU 3/21, Tropicana Indah, 47410 Petaling Jaya, Selangor, Malaysia",OPERATIONAL,-1,,3.1490388,101.5935816,https://www.saladatelier.com/,010-662 1561,"[""cafe"", ""establishment"", ""food"", ""health"", ""point_of_interest"", ""restaurant"", ""store""]",10:30 AM 9:00 PM,10:30 AM 9:00 PM,10:30 AM 9:00 PM,10:30 AM 9:00 PM,10:30 AM 9:00 PM,10:30 AM 9:00 PM,10:30 AM 9:00 PM,"{""Monday"": ""10:30 AM 9:00 PM"", ""Tuesday"": ""10:30 AM 9:00 PM"", ""Wednesday"": ""10:30 AM 9:00 PM"", ""Thursday"": ""10:30 AM 9:00 PM"", ""Friday"": ""10:30 AM 9:00 PM"", ""Saturday"": ""10:30 AM 9:00 PM"", ""Sunday"": ""10:30 AM 9:00 PM""}",google_places
t6ph,Nyonya Cendol Paradigm Mall,malaysian,4.5,"nyonya cendol, Petaling Jaya, Malaysia",ChIJ5zgBl_BNzDERbk732LvugsA,"LG-48, Lower Ground Floor, Paradigm Mall, 1, Jalan SS 7/26a, SS7, 47301 Petaling Jaya, Selangor, Malaysia",OPERATIONAL,-1,,3.1059372,101.5958662,http://www.facebook.com/nyonyacendolcafe,03-7887 7255,"[""establishment"", ""food"", ""point_of_interest"", ""restaurant"", ""store""]",10:00 AM 9:30 PM,10:00 AM 9:30 PM,10:00 AM 9:30 PM,10:00 AM 9:30 PM,10:00 AM 9:30 PM,10:00 AM 9:30 PM,10:00 AM 9:30 PM,"{""Monday"": ""10:00 AM 9:30 PM"", ""Tuesday"": ""10:00 AM 9:30 PM"", ""Wednesday"": ""10:00 AM 9:30 PM"", ""Thursday"": ""10:00 AM 9:30 PM"", ""Friday"": ""10:00 AM 9:30 PM"", ""Saturday"": ""10:00 AM 9:30 PM"", ""Sunday"": ""10:00 AM 9:30 PM""}",google_places
kb6t,Bread History (Sunway Giza),cakes,4.5,"bread history (sunway giza mall), Petaling Jaya, Malaysia",ChIJd_RnibRPzDERafp2t0wL7Ko,"G-06, Sunway Giza Mall, Jalan PJU 5/14, Dataran Sunway, 47810 Petaling Jaya, Selangor, Malaysia",OPERATIONAL,2,mid,3.1501529,101.5917264,http://breadhistory.com.my/,03-7660 0070,"[""bakery"", ""establishment"", ""food"", ""point_of_interest"", ""store""]",10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,"{""Monday"": ""10:00 AM 10:00 PM"", ""Tuesday"": ""10:00 AM 10:00 PM"", ""Wednesday"": ""10:00 AM 10:00 PM"", ""Thursday"": ""10:00 AM 10:00 PM"", ""Friday"": ""10:00 AM 10:00 PM"", ""Saturday"": ""10:00 AM 10:00 PM"", ""Sunday"": ""10:00 AM 10:00 PM""}",google_places
cogb,Ayam Penyet D'Kota @ IOI Mall Damansara,ayam penyet,4.6,"ayam penyet d'kota (tropicana gardens mall), Petaling Jaya, Malaysia",ChIJf1K3MKhPzDER_cj33zfQzPA,"18, Persiaran Surian, Tropicana Gardens Mall, Concourse Level, Kota Damansara, 47410 Petaling Jaya, Selangor, Malaysia",OPERATIONAL,-1,,3.14916,101.5955371,https://www.google.com/maps/place/?q=place_id:ChIJf1K3MKhPzDER_cj33zfQzPA,019-958 0947,"[""establishment"", ""food"", ""point_of_interest"", ""restaurant""]",10:00 AM 9:30 PM,10:00 AM 9:30 PM,10:00 AM 9:30 PM,10:00 AM 9:30 PM,10:00 AM 9:30 PM,10:00 AM 9:30 PM,10:00 AM 9:30 PM,"{""Monday"": ""10:00 AM 9:30 PM"", ""Tuesday"": ""10:00 AM 9:30 PM"", ""Wednesday"": ""10:00 AM 9:30 PM"", ""Thursday"": ""10:00 AM 9:30 PM"", ""Friday"": ""10:00 AM 9:30 PM"", ""Saturday"": ""10:00 AM 9:30 PM"", ""Sunday"": ""10:00 AM 9:30 PM""}",google_places
vaer,Juek Xing Kopi Sunway Giza Mall,chinese,4.7,"juek xing kopi, Petaling Jaya, Malaysia",ChIJT_3XPhJPzDERGkI5F6Uj4iQ,"G.07, Ground Floor, Sunway Giza Mall, Dataran Sunway, 47810 Petaling Jaya, Selangor, Malaysia",CLOSED_PERMANENTLY,-1,,3.1506259,101.5917255,https://www.facebook.com/juekxingmy,010-331 3128,"[""establishment"", ""food"", ""point_of_interest"", ""restaurant""]",,,,,,,,"{""Monday"": """", ""Tuesday"": """", ""Wednesday"": """", ""Thursday"": """", ""Friday"": """", ""Saturday"": """", ""Sunday"": """"}",google_places
m9ls,Ekandar Maju Nasi Kandar | Kota Damansara,nasi kandar,4.3,"hameediyah restaurant, Petaling Jaya, Malaysia",ChIJE9kuNd5OzDERwUqepGDvdlc,"Unit A-GF-01 Sunway Nexis,, No 1 Jalan PJU 5/1,, Damansara, 47810 Petaling Jaya, Selangor, Malaysia",CLOSED_PERMANENTLY,2,mid,3.150116,101.594258,https://www.google.com/maps/place/?q=place_id:ChIJE9kuNd5OzDERwUqepGDvdlc,03-6151 7766,"[""establishment"", ""food"", ""point_of_interest"", ""restaurant""]",,,,,,,,"{""Monday"": """", ""Tuesday"": """", ""Wednesday"": """", ""Thursday"": """", ""Friday"": """", ""Saturday"": """", ""Sunday"": """"}",google_places
v1ti,Soong Kee | Kota Damansara |,noodles,4.6,"soong kee kota damansara, Petaling Jaya, Malaysia",ChIJLfR812hPzDER9C3iy34fOiw,"38A-1 (Ground Floor), Jalan PJU 5/9 Dataran Sunway, Kota Damansara, 47810 Petaling Jaya, Selangor, Malaysia",CLOSED_PERMANENTLY,-1,,3.1509235,101.5938093,https://m.facebook.com/Soong-Kee-Kota-Damansara-%E9%A2%82%E8%AE%B0-100352465081079/,010-916 1945,"[""establishment"", ""food"", ""point_of_interest"", ""restaurant""]",,,,,,,,"{""Monday"": """", ""Tuesday"": """", ""Wednesday"": """", ""Thursday"": """", ""Friday"": """", ""Saturday"": """", ""Sunday"": """"}",google_places
r6fa,Tasty Porridge KOTA DAMANSARA,porridge,4.7,"tasty porridge (kota damansara), Petaling Jaya, Malaysia",ChIJsyeVFNdPzDERgelDPj5ztzI,"38A, 1 G, Jalan PJU 5/10, Pju 1, 47810 Petaling Jaya, Selangor, Malaysia",OPERATIONAL,-1,,3.1515972,101.5936897,https://www.google.com/maps/place/?q=place_id:ChIJsyeVFNdPzDERgelDPj5ztzI,03-6151 8096,"[""establishment"", ""food"", ""point_of_interest"", ""restaurant""]",10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,"{""Monday"": ""10:00 AM 10:00 PM"", ""Tuesday"": ""10:00 AM 10:00 PM"", ""Wednesday"": ""10:00 AM 10:00 PM"", ""Thursday"": ""10:00 AM 10:00 PM"", ""Friday"": ""10:00 AM 10:00 PM"", ""Saturday"": ""10:00 AM 10:00 PM"", ""Sunday"": ""10:00 AM 10:00 PM""}",google_places
jb12,Kaw Kaw Pak Kopi,chinese,4.6,"restoran kampung pak kopi kaw 濃的傳人, Petaling Jaya, Malaysia",ChIJJZJAjCNJzDERapXLlQzQWHA,"27, Jalan SS 2/67, SS 2, 47300 Petaling Jaya, Selangor, Malaysia",OPERATIONAL,2,mid,3.1190426,101.6224556,https://www.google.com/maps/place/?q=place_id:ChIJJZJAjCNJzDERapXLlQzQWHA,012-276 7090,"[""cafe"", ""establishment"", ""food"", ""point_of_interest"", ""restaurant"", ""store""]",7:00 AM 4:00 PM,7:00 AM 4:00 PM,7:00 AM 4:00 PM,7:00 AM 4:00 PM,7:00 AM 4:00 PM,7:00 AM 4:00 PM,7:00 AM 4:00 PM,"{""Monday"": ""7:00 AM 4:00 PM"", ""Tuesday"": ""7:00 AM 4:00 PM"", ""Wednesday"": ""7:00 AM 4:00 PM"", ""Thursday"": ""7:00 AM 4:00 PM"", ""Friday"": ""7:00 AM 4:00 PM"", ""Saturday"": ""7:00 AM 4:00 PM"", ""Sunday"": ""7:00 AM 4:00 PM""}",google_places
p0ic,Burger King Kota Damansara,burgers,4.6,"burger king (kota damansara), Petaling Jaya, Malaysia",ChIJg__tDeBOzDERJpLMNoWn6JI,"27-1, Jalan PJU 5/13, Dataran Sunway, 47810 Petaling Jaya, Selangor, Malaysia",CLOSED_PERMANENTLY,2,mid,3.151695,101.5922956,http://www.burgerking.com.my/,03-3362 6526,"[""establishment"", ""food"", ""point_of_interest"", ""restaurant""]",,,,,,,,"{""Monday"": """", ""Tuesday"": """", ""Wednesday"": """", ""Thursday"": """", ""Friday"": """", ""Saturday"": """", ""Sunday"": """"}",google_places
i3ar,Warakuya Japanese Garden,japanese,4.4,"和樂屋 warakuya japanese restaurant (kota damansara), Petaling Jaya, Malaysia",ChIJ8eTWANpPzDERS2AI350Q7ck,"2, Jalan PJU 5/10, Dataran Sunway, 47810 Petaling Jaya, Selangor, Malaysia",OPERATIONAL,2,mid,3.1515715,101.5925469,https://www.google.com/maps/place/?q=place_id:ChIJ8eTWANpPzDERS2AI350Q7ck,03-6150 0666,"[""establishment"", ""food"", ""point_of_interest"", ""restaurant""]",11:00 AM 11:00 PM,11:00 AM 11:00 PM,11:00 AM 11:00 PM,11:00 AM 11:00 PM,11:00 AM 11:00 PM,11:00 AM 11:00 PM,11:00 AM 11:00 PM,"{""Monday"": ""11:00 AM 11:00 PM"", ""Tuesday"": ""11:00 AM 11:00 PM"", ""Wednesday"": ""11:00 AM 11:00 PM"", ""Thursday"": ""11:00 AM 11:00 PM"", ""Friday"": ""11:00 AM 11:00 PM"", ""Saturday"": ""11:00 AM 11:00 PM"", ""Sunday"": ""11:00 AM 11:00 PM""}",google_places
plbj,Restoran Waneeda Tomyam,malaysian,4.5,"waneeda tomyam, Petaling Jaya, Malaysia",ChIJT3Wn2d9OzDERzedI9n3gNWs,"22A-1, Jalan PJU 5/9, Dataran Sunway, 47810 Petaling Jaya, Selangor, Malaysia",OPERATIONAL,2,mid,3.1509298,101.5932441,https://drive.google.com/file/d/1oI8yddliZNYAxQFvwtseH68CpgWYxgUf/view?usp=drivesdk,03-6140 7646,"[""establishment"", ""food"", ""point_of_interest"", ""restaurant""]",11:30 AM 12:00 AM,11:30 AM 12:00 AM,11:30 AM 12:00 AM,11:30 AM 12:00 AM,11:30 AM 12:00 AM,11:30 AM 12:00 AM,11:30 AM 12:00 AM,"{""Monday"": ""11:30 AM 12:00 AM"", ""Tuesday"": ""11:30 AM 12:00 AM"", ""Wednesday"": ""11:30 AM 12:00 AM"", ""Thursday"": ""11:30 AM 12:00 AM"", ""Friday"": ""11:30 AM 12:00 AM"", ""Saturday"": ""11:30 AM 12:00 AM"", ""Sunday"": ""11:30 AM 12:00 AM""}",google_places
r49e,Classic Taiwan Braised Pork Rice & Dessert,chinese,4.0,"classic taiwan braised pork rice (kota damansara), Petaling Jaya, Malaysia",ChIJJbgrFM1PzDERlS9DYGaAcSw,"17-2, Jln PJU 5/10 Dataran Sunway, Kota Damansara, 47810 Petaling Jaya, Selangor, Malaysia",OPERATIONAL,-1,,3.1513386,101.5931296,https://www.google.com/maps/place/?q=place_id:ChIJJbgrFM1PzDERlS9DYGaAcSw,016-336 8581,"[""establishment"", ""food"", ""point_of_interest"", ""restaurant""]",10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,"{""Monday"": ""10:00 AM 10:00 PM"", ""Tuesday"": ""10:00 AM 10:00 PM"", ""Wednesday"": ""10:00 AM 10:00 PM"", ""Thursday"": ""10:00 AM 10:00 PM"", ""Friday"": ""10:00 AM 10:00 PM"", ""Saturday"": ""10:00 AM 10:00 PM"", ""Sunday"": ""10:00 AM 10:00 PM""}",google_places
cso0,Krua Thai Moo-ka-ta Restaurant (Kota Damansara) (Non Halal),asian,4.8,"moo-ka-ta krua thai (kota damansara), Petaling Jaya, Malaysia",ChIJXVhQZX5PzDERRAIA736DECU,"13-1, Jalan PJU 5/15 Dataran Sunway, Kota Damansara, 47810 Petaling Jaya, Selangor, Malaysia",OPERATIONAL,2,mid,3.1522937,101.5917044,https://www.mookata.com.my/,018-316 7541,"[""establishment"", ""food"", ""point_of_interest"", ""restaurant""]",11:30 AM 6:00 AM,11:30 AM 6:00 AM,11:30 AM 6:00 AM,Closed,11:30 AM 6:00 AM,11:30 AM 6:00 AM,11:30 AM 6:00 AM,"{""Monday"": ""11:30 AM 6:00 AM"", ""Tuesday"": ""11:30 AM 6:00 AM"", ""Wednesday"": ""11:30 AM 6:00 AM"", ""Thursday"": ""Closed"", ""Friday"": ""11:30 AM 6:00 AM"", ""Saturday"": ""11:30 AM 6:00 AM"", ""Sunday"": ""11:30 AM 6:00 AM""}",google_places
ldz4,Hock Kee Ulu Yam Loh Mee Restaurant | Kota Damansara | | Restoran Hock Kee Ulu Yam Loh Mee,noodles,4.3,"restoran hock kee ulu yam loh mee (kota damansara), Petaling Jaya, Malaysia",ChIJpbQs_U1PzDERjE8wSGF8iho,"18-1, Jalan PJU 5/4, Kota Damansara, 47810 Petaling Jaya, Selangor, Malaysia",OPERATIONAL,-1,,3.1518546,101.594995,https://www.google.com/maps/place/?q=place_id:ChIJpbQs_U1PzDERjE8wSGF8iho,011-5660 1489,"[""establishment"", ""food"", ""point_of_interest"", ""restaurant""]",11:30 AM 9:15 PM,11:30 AM 9:15 PM,11:30 AM 9:15 PM,11:30 AM 9:15 PM,11:30 AM 9:15 PM,11:30 AM 9:15 PM,11:30 AM 9:15 PM,"{""Monday"": ""11:30 AM 9:15 PM"", ""Tuesday"": ""11:30 AM 9:15 PM"", ""Wednesday"": ""11:30 AM 9:15 PM"", ""Thursday"": ""11:30 AM 9:15 PM"", ""Friday"": ""11:30 AM 9:15 PM"", ""Saturday"": ""11:30 AM 9:15 PM"", ""Sunday"": ""11:30 AM 9:15 PM""}",google_places
t0v0,Omega Pork Noodle | | Kota Damansara,chinese,4.7,"omega pork noodle (kota damansara), Petaling Jaya, Malaysia",ChIJdymjjx9PzDERccSyQuM8rxI,"1G, 1, Kota Damansara, Jalan PJU 5/4, Dataran Sunway, 47810 Petaling Jaya, Selangor, Malaysia",OPERATIONAL,2,mid,3.1525895,101.594814,https://www.omegaporknoodles.com/,019-606 0118,"[""establishment"", ""food"", ""point_of_interest"", ""restaurant""]",8:00 AM 9:30 PM,8:00 AM 9:30 PM,8:00 AM 9:30 PM,8:00 AM 9:30 PM,8:00 AM 9:30 PM,8:00 AM 9:30 PM,8:00 AM 9:30 PM,"{""Monday"": ""8:00 AM 9:30 PM"", ""Tuesday"": ""8:00 AM 9:30 PM"", ""Wednesday"": ""8:00 AM 9:30 PM"", ""Thursday"": ""8:00 AM 9:30 PM"", ""Friday"": ""8:00 AM 9:30 PM"", ""Saturday"": ""8:00 AM 9:30 PM"", ""Sunday"": ""8:00 AM 9:30 PM""}",google_places
m8do,Khalifah Bistro,roti canai,4.6,"khalifah bistro (dataran sunway), Petaling Jaya, Malaysia",ChIJsUw7wJxPzDERXxGgmsaf8K0,"15-1, Jalan PJU 5/3, Dataran Sunway, 47810 Petaling Jaya, Selangor, Malaysia",OPERATIONAL,2,mid,3.151983,101.5954481,https://www.facebook.com/restaurantkhalifah/,03-6150 0067,"[""establishment"", ""food"", ""point_of_interest"", ""restaurant""]",Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",google_places
q2yu,Humaira Hotel,malaysian,4.4,"humairah original kelantan, Petaling Jaya, Malaysia",ChIJP2huFoictjER0Zs1iiE-1IQ,"PT 833, Kompleks Perniagaan Humaira, Jalan Humaira 1, Tanah Merah, 17500 Tanah Merah, Kelantan, Malaysia",OPERATIONAL,-1,,5.805785999999999,102.1477035,http://www.humairahotel.com.my/,09-955 2427,"[""establishment"", ""lodging"", ""point_of_interest""]",Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",google_places
qrec,Restoran Zayan Bistro,nasi kandar,4.3,"nasi kandar zayan bistro, Petaling Jaya, Malaysia",ChIJF1O-yzJPzDERI71SZDZ1W24,"E-G-21-22-23,Rumah Pangsa Damai, Jln Tropicana Selatan, Pju 3 Tropicana, 47400 Petaling Jaya, Selangor, Malaysia",OPERATIONAL,-1,,3.1323995,101.6006921,https://www.foodpanda.my/restaurant/iems,03-7887 7593,"[""establishment"", ""food"", ""point_of_interest"", ""restaurant""]",Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",google_places
djw6,Salero Minang,13635 min,4.2,"restoran salero minang, Petaling Jaya, Malaysia",ChIJc0-N34VPzDERV95dkmf8N3M,"Lot 27-1 ,Jalan PJU 5/18,Dataran Sunway, Kota Damansara, 47810 Petaling Jaya, Selangor, Malaysia",CLOSED_PERMANENTLY,-1,,3.1532977,101.5918272,https://www.google.com/maps/place/?q=place_id:ChIJc0-N34VPzDERV95dkmf8N3M,011-2669 8768,"[""establishment"", ""food"", ""point_of_interest"", ""restaurant""]",,,,,,,,"{""Monday"": """", ""Tuesday"": """", ""Wednesday"": """", ""Thursday"": """", ""Friday"": """", ""Saturday"": """", ""Sunday"": """"}",google_places
pkxx,Pasta Panas @ Petronas Kota Damansara,pasta,4.6,"pasta panas (petronas station kota damansara), Petaling Jaya, Malaysia",ChIJi5Y-QoRPzDERswrrG2zv09E,"Seksyen 2, Persiaran Surian, Kota Damansara, 47810 Petaling Jaya, Selangor, Malaysia",CLOSED_TEMPORARILY,-1,,3.149654,101.5800874,https://www.pastapanas.com.my/,019-274 2016,"[""establishment"", ""food"", ""point_of_interest"", ""store""]",,,,,,,,"{""Monday"": """", ""Tuesday"": """", ""Wednesday"": """", ""Thursday"": """", ""Friday"": """", ""Saturday"": """", ""Sunday"": """"}",google_places
jxoc,Mat Rock Special Ayam Goreng Kunyit @ Kota Damansara,chicken,4.6,"mat rock ayam goreng kunyit (kota damansara), Petaling Jaya, Malaysia",ChIJS0CxlIRPzDERrY46OLoJogo,"9-1, Jalan PJU 5/12, Dataran Sunway, 47810 Petaling Jaya, Selangor, Malaysia",OPERATIONAL,-1,,3.1532943,101.5928172,https://www.google.com/maps/place/?q=place_id:ChIJS0CxlIRPzDERrY46OLoJogo,012-285 0812,"[""establishment"", ""food"", ""point_of_interest"", ""restaurant""]",11:00 AM 8:45 PM,11:00 AM 8:45 PM,11:00 AM 8:45 PM,11:00 AM 8:45 PM,11:00 AM 8:45 PM,11:00 AM 8:45 PM,11:00 AM 8:45 PM,"{""Monday"": ""11:00 AM 8:45 PM"", ""Tuesday"": ""11:00 AM 8:45 PM"", ""Wednesday"": ""11:00 AM 8:45 PM"", ""Thursday"": ""11:00 AM 8:45 PM"", ""Friday"": ""11:00 AM 8:45 PM"", ""Saturday"": ""11:00 AM 8:45 PM"", ""Sunday"": ""11:00 AM 8:45 PM""}",google_places
vng8,Tako-Za Snacks,malaysian,4.7,"takoza snacks (khalifah, dataran sunway), Petaling Jaya, Malaysia",ChIJeSWUKCxPzDERpDY9bnSQf80,"58, Jalan Sepah Puteri 5/18 Seksyen 5, Kota Damansara, Kota Damansara, 47810 Petaling Jaya, Selangor, Malaysia",OPERATIONAL,-1,,3.15982,101.583928,https://www.google.com/maps/place/?q=place_id:ChIJeSWUKCxPzDERpDY9bnSQf80,,"[""establishment"", ""food"", ""meal_takeaway"", ""point_of_interest"", ""restaurant""]",11:00 AM 10:00 PM,11:00 AM 10:00 PM,11:00 AM 10:00 PM,11:00 AM 10:00 PM,11:00 AM 10:00 PM,11:00 AM 10:00 PM,11:00 AM 10:00 PM,"{""Monday"": ""11:00 AM 10:00 PM"", ""Tuesday"": ""11:00 AM 10:00 PM"", ""Wednesday"": ""11:00 AM 10:00 PM"", ""Thursday"": ""11:00 AM 10:00 PM"", ""Friday"": ""11:00 AM 10:00 PM"", ""Saturday"": ""11:00 AM 10:00 PM"", ""Sunday"": ""11:00 AM 10:00 PM""}",google_places
tmqh,My Tomyam Seafood @ Rasta TTDI,thai,4.7,"tomyam seafood annur tanjung (foodcourt), Petaling Jaya, Malaysia",ChIJvyAxc_5JzDERBnqRovedF7Y,"Jalan Datuk Sulaiman, Taman Tun Dr Ismail, 60000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",OPERATIONAL,-1,,3.1589517,101.6265531,http://www.mytomyamseafood.my/,016-311 5978,"[""establishment"", ""food"", ""point_of_interest""]",Closed,12:00 11:00 PM,12:00 11:00 PM,12:00 11:00 PM,4:00 PM 12:00 AM,12:30 11:00 PM,12:30 11:00 PM,"{""Monday"": ""Closed"", ""Tuesday"": ""12:00 11:00 PM"", ""Wednesday"": ""12:00 11:00 PM"", ""Thursday"": ""12:00 11:00 PM"", ""Friday"": ""4:00 PM 12:00 AM"", ""Saturday"": ""12:30 11:00 PM"", ""Sunday"": ""12:30 11:00 PM""}",google_places
vp35,NZW Mamii Glam Thai Ki Rice,chicken,4.6,"nasi ayam nzw mamii glam damansara, Petaling Jaya, Malaysia",ChIJcZmozw5PzDERVDmjgA5Zgtg,"2, Jalan PJU 5/13, Kota Damansara, 47810 Petaling Jaya, Selangor, Malaysia",OPERATIONAL,-1,,3.1523707,101.5923805,https://www.google.com/maps/place/?q=place_id:ChIJcZmozw5PzDERVDmjgA5Zgtg,,"[""establishment"", ""food"", ""point_of_interest"", ""restaurant""]",11:00 AM 8:00 PM,11:00 AM 8:00 PM,11:00 AM 8:00 PM,11:00 AM 8:00 PM,11:00 AM 8:00 PM,11:00 AM 8:00 PM,11:00 AM 8:00 PM,"{""Monday"": ""11:00 AM 8:00 PM"", ""Tuesday"": ""11:00 AM 8:00 PM"", ""Wednesday"": ""11:00 AM 8:00 PM"", ""Thursday"": ""11:00 AM 8:00 PM"", ""Friday"": ""11:00 AM 8:00 PM"", ""Saturday"": ""11:00 AM 8:00 PM"", ""Sunday"": ""11:00 AM 8:00 PM""}",google_places
bbix,Cik Melur Alam Damai,fried rice,4.3,"cik melur @the strand, Petaling Jaya, Malaysia",ChIJBZif2QQ1zDERepQmTMDrJnE,"No 42A, Jln Damai Raya 2, Alam Damai, 56000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",OPERATIONAL,2,mid,3.0631955,101.7441145,https://www.google.com/maps/place/?q=place_id:ChIJBZif2QQ1zDERepQmTMDrJnE,016-279 2577,"[""establishment"", ""food"", ""point_of_interest"", ""restaurant""]",11:00 AM 11:30 PM,11:00 AM 11:30 PM,11:00 AM 11:30 PM,11:00 AM 11:30 PM,11:00 AM 11:30 PM,11:00 AM 11:30 PM,11:00 AM 11:30 PM,"{""Monday"": ""11:00 AM 11:30 PM"", ""Tuesday"": ""11:00 AM 11:30 PM"", ""Wednesday"": ""11:00 AM 11:30 PM"", ""Thursday"": ""11:00 AM 11:30 PM"", ""Friday"": ""11:00 AM 11:30 PM"", ""Saturday"": ""11:00 AM 11:30 PM"", ""Sunday"": ""11:00 AM 11:30 PM""}",google_places
t0a8,Foodle Kota Damansara,malaysian,3.8,"seri malaya - foodle (the strand mall), Petaling Jaya, Malaysia",ChIJgeNbviJPzDERC7NQRmyZaZg,"Red Carpet Area The Strand Mall, Pusat Perdagangan, PJU5, Jalan PJU 5/22, Kota Damansara, 47810 Petaling Jaya, Selangor, Malaysia",OPERATIONAL,-1,,3.1550309,101.5928935,https://www.foodle.com.my/,03-6144 0333,"[""establishment"", ""food"", ""point_of_interest"", ""restaurant""]",10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,"{""Monday"": ""10:00 AM 10:00 PM"", ""Tuesday"": ""10:00 AM 10:00 PM"", ""Wednesday"": ""10:00 AM 10:00 PM"", ""Thursday"": ""10:00 AM 10:00 PM"", ""Friday"": ""10:00 AM 10:00 PM"", ""Saturday"": ""10:00 AM 10:00 PM"", ""Sunday"": ""10:00 AM 10:00 PM""}",google_places
ncdn,Foodle Kota Damansara,italian,3.0,"hasta la pasta - foodle (the strand mall), Petaling Jaya, Malaysia",ChIJgeNbviJPzDERC7NQRmyZaZg,"Red Carpet Area The Strand Mall, Pusat Perdagangan, PJU5, Jalan PJU 5/22, Kota Damansara, 47810 Petaling Jaya, Selangor, Malaysia",OPERATIONAL,-1,,3.1550309,101.5928935,https://www.foodle.com.my/,03-6144 0333,"[""establishment"", ""food"", ""point_of_interest"", ""restaurant""]",10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,"{""Monday"": ""10:00 AM 10:00 PM"", ""Tuesday"": ""10:00 AM 10:00 PM"", ""Wednesday"": ""10:00 AM 10:00 PM"", ""Thursday"": ""10:00 AM 10:00 PM"", ""Friday"": ""10:00 AM 10:00 PM"", ""Saturday"": ""10:00 AM 10:00 PM"", ""Sunday"": ""10:00 AM 10:00 PM""}",google_places
